path_pattern,has_view_item,has_add_to_cart,has_begin_checkout,has_purchase,session_count,session_share_pct
进入网站,0,0,0,0,279309,78.71
进入网站 → 浏览商品,1,0,0,0,55652,15.68
进入网站 → 浏览商品 → 加入购物车,1,1,0,0,9029,2.54
进入网站 → 浏览商品 → 加入购物车 → 开始结账,1,1,1,0,3052,0.86
进入网站 → 浏览商品 → 开始结账,1,0,1,0,2936,0.83
进入网站 → 浏览商品 → 加入购物车 → 开始结账 → 完成购买,1,1,1,1,2816,0.79
进入网站 → 浏览商品 → 开始结账 → 完成购买,1,0,1,1,1786,0.5
进入网站 → 开始结账 → 完成购买,0,0,1,1,140,0.04
进入网站 → 开始结账,0,0,1,0,122,0.03
进入网站 → 加入购物车,0,1,0,0,11,0.0
进入网站 → 完成购买,0,0,0,1,3,0.0
进入网站 → 加入购物车 → 开始结账,0,1,1,0,1,0.0
