country,total_sessions,view_sessions,checkout_sessions,purchase_sessions,session_to_view_rate_pct,view_to_checkout_rate_pct,checkout_to_purchase_rate_pct,overall_purchase_rate_pct
United States,155829,33108,4665,2002,21.25,14.09,42.92,1.28
India,33250,7075,944,423,21.28,13.34,44.81,1.27
Canada,26419,5733,828,374,21.7,14.44,45.17,1.42
United Kingdom,11153,2351,317,143,21.08,13.48,45.11,1.28
France,7054,1461,204,98,20.71,13.96,48.04,1.39
Spain,6588,1360,224,96,20.64,16.47,42.86,1.46
Germany,6298,1221,179,74,19.39,14.66,41.34,1.17
China,6156,1319,175,75,21.43,13.27,42.86,1.22
Taiwan,5978,1283,176,78,21.46,13.72,44.32,1.3
Italy,4935,1092,141,54,22.13,12.91,38.3,1.09
Japan,4676,997,146,69,21.32,14.64,47.26,1.48
Singapore,4655,1013,142,54,21.76,14.02,38.03,1.16
South Korea,4466,905,123,49,20.26,13.59,39.84,1.1
Netherlands,4020,857,130,59,21.32,15.17,45.38,1.47
Turkey,3588,744,106,51,20.74,14.25,48.11,1.42
Brazil,3556,712,119,53,20.02,16.71,44.54,1.49
Australia,3277,701,96,43,21.39,13.69,44.79,1.31
Indonesia,3183,634,68,24,19.92,10.73,35.29,0.75
Poland,3102,644,107,46,20.76,16.61,42.99,1.48
Mexico,2991,660,90,41,22.07,13.64,45.56,1.37
(not set),2840,598,78,32,21.06,13.04,41.03,1.13
Russia,2309,529,66,39,22.91,12.48,59.09,1.69
Hong Kong,2177,494,65,31,22.69,13.16,47.69,1.42
Ireland,2115,491,65,32,23.22,13.24,49.23,1.51
Sweden,1944,433,60,22,22.27,13.86,36.67,1.13
Switzerland,1886,397,51,19,21.05,12.85,37.25,1.01
Malaysia,1840,372,56,31,20.22,15.05,55.36,1.68
Philippines,1722,373,51,22,21.66,13.67,43.14,1.28
Colombia,1676,347,50,26,20.7,14.41,52.0,1.55
Peru,1663,369,58,24,22.19,15.72,41.38,1.44
Israel,1659,304,43,17,18.32,14.14,39.53,1.02
Thailand,1563,323,47,24,20.67,14.55,51.06,1.54
Pakistan,1553,307,53,19,19.77,17.26,35.85,1.22
Portugal,1537,290,37,18,18.87,12.76,48.65,1.17
Vietnam,1514,341,45,21,22.52,13.2,46.67,1.39
Belgium,1476,306,40,14,20.73,13.07,35.0,0.95
Greece,1311,291,41,21,22.2,14.09,51.22,1.6
Ukraine,1301,251,36,10,19.29,14.34,27.78,0.77
United Arab Emirates,1130,217,29,12,19.2,13.36,41.38,1.06
