session_date,total_sessions,view_sessions,checkout_sessions,purchase_sessions,session_to_view_rate_pct,view_to_checkout_rate_pct,checkout_to_purchase_rate_pct,overall_purchase_rate_pct,total_sessions_7d_avg,overall_purchase_rate_7d_pct
2020-11-01,2594,528,93,13,20.35,17.61,13.98,0.5,2594.0,0.5
2020-11-02,3682,815,125,39,22.13,15.34,31.2,1.06,3138.0,0.83
2020-11-03,5281,992,137,46,18.78,13.81,33.58,0.87,3852.0,0.85
2020-11-04,4280,866,115,28,20.23,13.28,24.35,0.65,3959.0,0.8
2020-11-05,3794,870,124,26,22.93,14.25,20.97,0.69,3926.0,0.77
2020-11-06,3264,840,147,47,25.74,17.5,31.97,1.44,3816.0,0.87
2020-11-07,2239,577,111,28,25.77,19.24,25.23,1.25,3591.0,0.9
2020-11-08,2132,489,99,30,22.94,20.25,30.3,1.41,3525.0,0.99
2020-11-09,3227,779,133,43,24.14,17.07,32.33,1.33,3460.0,1.02
2020-11-10,3781,934,171,61,24.7,18.31,35.67,1.61,3245.0,1.16
2020-11-11,3764,932,162,62,24.76,17.38,38.27,1.65,3172.0,1.34
2020-11-12,3631,914,162,47,25.17,17.72,29.01,1.29,3148.0,1.44
2020-11-13,3299,844,179,65,25.58,21.21,36.31,1.97,3153.0,1.52
2020-11-14,2334,580,106,29,24.85,18.28,27.36,1.24,3167.0,1.52
2020-11-15,2190,488,109,23,22.28,22.34,21.1,1.05,3175.0,1.48
2020-11-16,3495,866,163,65,24.78,18.82,39.88,1.86,3213.0,1.56
2020-11-17,4011,1069,200,85,26.65,18.71,42.5,2.12,3246.0,1.65
2020-11-18,4092,1020,155,48,24.93,15.2,30.97,1.17,3293.0,1.57
2020-11-19,4150,1050,123,45,25.3,11.71,36.59,1.08,3367.0,1.53
2020-11-20,4083,1080,159,62,26.45,14.72,38.99,1.52,3479.0,1.47
2020-11-21,3151,807,124,34,25.61,15.37,27.42,1.08,3596.0,1.44
2020-11-22,2650,663,109,29,25.02,16.44,26.61,1.09,3662.0,1.44
2020-11-23,3914,946,169,62,24.17,17.86,36.69,1.58,3722.0,1.4
2020-11-24,4169,988,177,74,23.7,17.91,41.81,1.78,3744.0,1.35
2020-11-25,4292,1012,176,56,23.58,17.39,31.82,1.3,3773.0,1.37
2020-11-26,4058,850,173,50,20.95,20.35,28.9,1.23,3760.0,1.39
2020-11-27,3928,863,189,87,21.97,21.9,46.03,2.21,3737.0,1.5
2020-11-28,3345,748,158,74,22.36,21.12,46.84,2.21,3765.0,1.64
2020-11-29,3206,701,125,49,21.87,17.83,39.2,1.53,3845.0,1.68
2020-11-30,4514,1178,237,125,26.1,20.12,52.74,2.77,3930.0,1.87
2020-12-01,4912,1246,225,94,25.37,18.06,41.78,1.91,4036.0,1.89
2020-12-02,4759,1201,200,73,25.24,16.65,36.5,1.53,4103.0,1.92
2020-12-03,5140,1337,214,80,26.01,16.01,37.38,1.56,4258.0,1.95
2020-12-04,4675,1180,190,81,25.24,16.1,42.63,1.73,4364.0,1.89
2020-12-05,3462,815,166,73,23.54,20.37,43.98,2.11,4381.0,1.87
2020-12-06,3302,762,136,41,23.08,17.85,30.15,1.24,4395.0,1.84
2020-12-07,5409,1210,192,88,22.37,15.87,45.83,1.63,4523.0,1.67
2020-12-08,7522,1428,257,102,18.98,18.0,39.69,1.36,4896.0,1.57
2020-12-09,6207,1249,249,130,20.12,19.94,52.21,2.09,5102.0,1.67
2020-12-10,5758,1297,243,118,22.53,18.74,48.56,2.05,5191.0,1.74
2020-12-11,5476,1219,242,134,22.26,19.85,55.37,2.45,5305.0,1.85
2020-12-12,4087,865,187,96,21.16,21.62,51.34,2.35,5394.0,1.88
2020-12-13,3666,706,130,59,19.26,18.41,45.38,1.61,5446.0,1.91
2020-12-14,5048,1048,180,82,20.76,17.18,45.56,1.62,5395.0,1.91
2020-12-15,5678,1220,182,109,21.49,14.92,59.89,1.92,5131.0,2.03
2020-12-16,5485,1173,174,111,21.39,14.83,63.79,2.02,5028.0,2.01
2020-12-17,5282,1231,150,93,23.31,12.19,62.0,1.76,4960.0,1.97
2020-12-18,4782,1045,143,74,21.85,13.68,51.75,1.55,4861.0,1.83
2020-12-19,3558,714,83,37,20.07,11.62,44.58,1.04,4786.0,1.69
2020-12-20,3247,543,50,18,16.72,9.21,36.0,0.55,4726.0,1.58
2020-12-21,3950,802,85,47,20.3,10.6,55.29,1.19,4569.0,1.53
2020-12-22,3791,894,92,52,23.58,10.29,56.52,1.37,4299.0,1.44
2020-12-23,3406,713,89,53,20.93,12.48,59.55,1.56,4002.0,1.33
2020-12-24,2773,474,39,22,17.09,8.23,56.41,0.79,3644.0,1.19
2020-12-25,2623,355,36,17,13.53,10.14,47.22,0.65,3335.0,1.05
2020-12-26,2651,407,24,15,15.35,5.9,62.5,0.57,3206.0,1.0
2020-12-27,2646,400,38,20,15.12,9.5,52.63,0.76,3120.0,1.03
2020-12-28,3329,530,46,33,15.92,8.68,71.74,0.99,3031.0,1.0
2020-12-29,3400,526,40,20,15.47,7.6,50.0,0.59,2975.0,0.86
2020-12-30,3182,505,34,18,15.87,6.73,52.94,0.57,2943.0,0.7
2020-12-31,2587,379,41,21,14.65,10.82,51.22,0.81,2917.0,0.71
2021-01-01,2289,316,25,12,13.81,7.91,48.0,0.52,2869.0,0.69
