item_name_key,item_name,item_category,view_session_items,cart_after_view_session_items,checkout_after_view_session_items,strict_purchase_session_items,all_purchase_session_items,view_share_pct,view_to_cart_rate_pct,view_to_checkout_rate_pct,strict_view_to_purchase_rate_pct,strict_checkout_to_purchase_rate_pct,strict_purchase_coverage_pct,benchmark_view_to_cart_rate_pct,benchmark_view_to_checkout_rate_pct,benchmark_strict_purchase_rate_pct
super g unisex joggers,Super G Unisex Joggers,Home/Apparel/Men's / Unisex/,17717,3940,226,140,218,1.64,22.24,1.28,0.79,61.95,64.22,24.8,1.37,0.83
google navy speckled tee,Google Navy Speckled Tee,Home/Apparel/Women's/,17193,4111,116,77,131,1.59,23.91,0.67,0.45,66.38,58.78,24.8,1.37,0.83
google zip hoodie f/c,Google Zip Hoodie F/C,Home/Apparel/,16786,4092,219,142,221,1.55,24.38,1.3,0.85,64.84,64.25,24.8,1.37,0.83
youtube icon tee grey,YouTube Icon Tee Grey,Home/Apparel/Men's / Unisex/,14083,2266,57,39,56,1.3,16.09,0.4,0.28,68.42,69.64,24.8,1.37,0.83
google campus bike eco tee navy,Google Campus Bike Eco Tee Navy,Home/Apparel/Women's/,13866,3517,33,22,40,1.28,25.36,0.24,0.16,66.67,55.0,24.8,1.37,0.83
google land & sea cotton cap,Google Land & Sea Cotton Cap,Home/Apparel/Hats/,11810,3760,130,93,107,1.09,31.84,1.1,0.79,71.54,86.92,24.8,1.37,0.83
google land & sea french terry sweatshirt,Google Land & Sea French Terry Sweatshirt,Home/Eco-Friendly/,11756,2021,44,24,28,1.09,17.19,0.37,0.2,54.55,85.71,24.8,1.37,0.83
youtube icon tee charcoal,YouTube Icon Tee Charcoal,Home/Apparel/Men's / Unisex/,11722,2145,104,61,83,1.08,18.3,0.89,0.52,58.65,73.49,24.8,1.37,0.83
google women's striped l/s,Google Women's Striped L/S,Home/Sale/,11484,3420,0,0,0,1.06,29.78,0.0,0.0,,,24.8,1.37,0.83
android sm s/f18 sticker sheet,Android SM S/F18 Sticker Sheet,Home/Stationery/,11422,3198,107,62,91,1.06,28.0,0.94,0.54,57.94,68.13,24.8,1.37,0.83
google f/c long sleeve tee charcoal,Google F/C Long Sleeve Tee Charcoal,Home/Apparel/Men's / Unisex/,11417,2893,0,0,0,1.06,25.34,0.0,0.0,,,24.8,1.37,0.83
android large removable sticker sheet,Android Large Removable Sticker Sheet,Home/Shop by Brand/Android/,11379,3161,58,33,48,1.05,27.78,0.51,0.29,56.9,68.75,24.8,1.37,0.83
google sherpa zip hoodie charcoal,Google Sherpa Zip Hoodie Charcoal,Home/Apparel/Men's / Unisex/,11326,2231,92,59,93,1.05,19.7,0.81,0.52,64.13,63.44,24.8,1.37,0.83
youtube leather strap hat black,YouTube Leather Strap Hat Black,Home/Apparel/Hats/,11129,3338,79,41,68,1.03,29.99,0.71,0.37,51.9,60.29,24.8,1.37,0.83
google heather green speckled tee,Google Heather Green Speckled Tee,Home/Apparel/Men's / Unisex/,11085,2071,44,32,63,1.02,18.68,0.4,0.29,72.73,50.79,24.8,1.37,0.83
google badge heavyweight pullover black,Google Badge Heavyweight Pullover Black,Home/Apparel/Men's / Unisex/,11012,3007,125,95,150,1.02,27.31,1.14,0.86,76.0,63.33,24.8,1.37,0.83
google crewneck sweatshirt navy,Google Crewneck Sweatshirt Navy,Home/Apparel/Men's / Unisex/,10587,3246,235,158,188,0.98,30.66,2.22,1.49,67.23,84.04,24.8,1.37,0.83
google speckled beanie navy,Google Speckled Beanie Navy,Home/Apparel/,9907,3205,98,65,87,0.92,32.35,0.99,0.66,66.33,74.71,24.8,1.37,0.83
youtube twill sandwich cap black,YouTube Twill Sandwich Cap Black,Home/Apparel/,9849,2773,671,62,88,0.91,28.16,6.81,0.63,9.24,70.45,24.8,1.37,0.83
google f/c long sleeve tee ash,Google F/C Long Sleeve Tee Ash,Home/Apparel/Men's / Unisex/,9623,2774,0,0,0,0.89,28.83,0.0,0.0,,,24.8,1.37,0.83
google small standard journal navy,Google Small Standard Journal Navy,Home/Sale/,9482,2845,47,18,44,0.88,30.0,0.5,0.19,38.3,40.91,24.8,1.37,0.83
google crewneck sweatshirt green,Google Crewneck Sweatshirt Green,Home/Apparel/Men's / Unisex/,9302,2830,151,104,150,0.86,30.42,1.62,1.12,68.87,69.33,24.8,1.37,0.83
google heathered pom beanie,Google Heathered Pom Beanie,Home/Apparel/,9280,3086,171,123,170,0.86,33.25,1.84,1.33,71.93,72.35,24.8,1.37,0.83
android super hero 3d framed art,Android Super Hero 3D Framed Art,Home/Sale/,9248,2413,24,17,27,0.85,26.09,0.26,0.18,70.83,62.96,24.8,1.37,0.83
android large trace journal black,Android Large Trace Journal Black,Home/Sale/,9216,2609,28,12,21,0.85,28.31,0.3,0.13,42.86,57.14,24.8,1.37,0.83
google land & sea journal set,Google Land & Sea Journal Set,Home/Eco-Friendly/,9009,2051,68,29,41,0.83,22.77,0.75,0.32,42.65,70.73,24.8,1.37,0.83
google tee yellow,Google Tee Yellow,Home/Sale/,8889,2485,37,22,31,0.82,27.96,0.42,0.25,59.46,70.97,24.8,1.37,0.83
android techie 3d framed art,Android Techie 3D Framed Art,Lifestyle/Small Goods/,8844,2466,33,23,35,0.82,27.88,0.37,0.26,69.7,65.71,24.8,1.37,0.83
google utility bag grey,Google Utility Bag Grey,Lifestyle/Small Goods/,8696,1917,80,45,58,0.8,22.04,0.92,0.52,56.25,77.59,24.8,1.37,0.83
android small trace journal black,Android Small Trace Journal Black,Stationery,8664,2383,20,10,14,0.8,27.5,0.23,0.12,50.0,71.43,24.8,1.37,0.83
google eco tee black,Google Eco Tee Black,Home/Apparel/Women's/,8631,1962,0,0,0,0.8,22.73,0.0,0.0,,,24.8,1.37,0.83
google leather strap hat blue,Google Leather Strap Hat Blue,Home/Apparel/Hats/,8351,3070,109,77,115,0.77,36.76,1.31,0.92,70.64,66.96,24.8,1.37,0.83
google tee green,Google Tee Green,Home/Sale/,8070,2198,41,14,17,0.75,27.24,0.51,0.17,34.15,82.35,24.8,1.37,0.83
youtube women's favorite tee white,YouTube Women's Favorite Tee White,Home/Sale/,8009,2198,3,2,5,0.74,27.44,0.04,0.02,66.67,40.0,24.8,1.37,0.83
google blue stojo cup,Google Blue Stojo Cup,Home/New/,7987,1577,71,28,38,0.74,19.74,0.89,0.35,39.44,73.68,24.8,1.37,0.83
google laptop sleeve charcoal,Google Laptop Sleeve Charcoal,Lifestyle/Bags/,7606,1560,22,9,12,0.7,20.51,0.29,0.12,40.91,75.0,24.8,1.37,0.83
android iconic hat black,Android Iconic Hat Black,Home/Apparel/Hats/,7549,2681,49,23,28,0.7,35.51,0.65,0.3,46.94,82.14,24.8,1.37,0.83
google land & sea nalgene water bottle,Google Land & Sea Nalgene Water Bottle,Drinkware,7493,1499,40,26,53,0.69,20.01,0.53,0.35,65.0,49.06,24.8,1.37,0.83
android iconic crewneck sweatshirt,Android Iconic Crewneck Sweatshirt,Home/Apparel/Men's / Unisex/,7377,1739,107,66,85,0.68,23.57,1.45,0.89,61.68,77.65,24.8,1.37,0.83
android garden tee orange,Android Garden Tee Orange,Home/Apparel/Women's/,7360,1484,24,12,27,0.68,20.16,0.33,0.16,50.0,44.44,24.8,1.37,0.83
google red speckled tee,Google Red Speckled Tee,Home/Apparel/Men's / Unisex/,7329,2097,147,113,135,0.68,28.61,2.01,1.54,76.87,83.7,24.8,1.37,0.83
google land & sea mug,Google Land & Sea Mug,Drinkware,7280,1536,53,37,38,0.67,21.1,0.73,0.51,69.81,97.37,24.8,1.37,0.83
google land & sea tech taco,Google Land & Sea Tech Taco,Home/New/,7253,1505,45,20,22,0.67,20.75,0.62,0.28,44.44,90.91,24.8,1.37,0.83
android iconic hat green,Android Iconic Hat Green,Home/Apparel/Hats/,7208,2677,25,13,24,0.67,37.14,0.35,0.18,52.0,54.17,24.8,1.37,0.83
youtube jotter task pad,YouTube Jotter Task Pad,Home/Stationery/,7040,1507,89,44,54,0.65,21.41,1.26,0.63,49.44,81.48,24.8,1.37,0.83
google leather strap hat black,Google Leather Strap Hat Black,Home/Apparel/Hats/,6889,2630,2,0,33,0.64,38.18,0.03,0.0,0.0,0.0,24.8,1.37,0.83
google land & sea women's eco tee,Google Land & Sea Women's Eco Tee,Home/New/,6866,1306,6,5,10,0.63,19.02,0.09,0.07,83.33,50.0,24.8,1.37,0.83
google sherpa zip hoodie navy,Google Sherpa Zip Hoodie Navy,Home/Apparel/Men's / Unisex/,6800,944,51,34,71,0.63,13.88,0.75,0.5,66.67,47.89,24.8,1.37,0.83
google speckled beanie grey,Google Speckled Beanie Grey,Home/Apparel/Hats/,6742,2618,59,46,66,0.62,38.83,0.88,0.68,77.97,69.7,24.8,1.37,0.83
android iconic beanie,Android Iconic Beanie,Home/Apparel/Hats/,6503,2601,29,18,23,0.6,40.0,0.45,0.28,62.07,78.26,24.8,1.37,0.83
google land & sea unisex tee,Google Land & Sea Unisex Tee,Home/New/,6283,1240,2,0,0,0.58,19.74,0.03,0.0,0.0,,24.8,1.37,0.83
android iconic hat white,Android Iconic Hat White,Home/Apparel/Hats/,6278,2548,24,17,23,0.58,40.59,0.38,0.27,70.83,73.91,24.8,1.37,0.83
google beekeepers tee mint,Google Beekeepers Tee Mint,Home/Apparel/Women's/,6148,1433,57,40,46,0.57,23.31,0.93,0.65,70.18,86.96,24.8,1.37,0.83
noogler android figure,Noogler Android Figure,Lifestyle/,6123,1318,112,68,97,0.57,21.53,1.83,1.11,60.71,70.1,24.8,1.37,0.83
google large tote white,Google Large Tote White,Lifestyle/Bags/,6110,1237,73,51,73,0.56,20.25,1.19,0.83,69.86,69.86,24.8,1.37,0.83
youtube small sticker sheet,YouTube Small Sticker Sheet,Home/Shop by Brand/YouTube/,6076,1186,3,2,12,0.56,19.52,0.05,0.03,66.67,16.67,24.8,1.37,0.83
google glass bottle,Google Glass Bottle,Lifestyle/Drinkware/,5924,1671,109,56,84,0.55,28.21,1.84,0.95,51.38,66.67,24.8,1.37,0.83
stan and friends tee green,Stan and Friends Tee Green,Home/Apparel/Women's/,5914,1409,43,25,37,0.55,23.82,0.73,0.42,58.14,67.57,24.8,1.37,0.83
google campus bike bottle,Google Campus Bike Bottle,Lifestyle/Drinkware/,5727,1483,39,23,32,0.53,25.89,0.68,0.4,58.97,71.88,24.8,1.37,0.83
youtube standards zip hoodie black,YouTube Standards Zip Hoodie Black,Home/Shop by Brand/YouTube/,5702,920,22,11,15,0.53,16.13,0.39,0.19,50.0,73.33,24.8,1.37,0.83
