item_name,item_category,view_session_items,cart_after_view_session_items,checkout_after_view_session_items,strict_purchase_session_items,all_purchase_session_items,view_to_cart_rate_pct,view_to_checkout_rate_pct,strict_view_to_purchase_rate_pct,strict_purchase_coverage_pct,high_view_threshold,purchase_rate_benchmark,product_quadrant,estimated_gap_vs_benchmark,data_reliability_note
Google Women's Striped L/S,Home/Sale/,11484,3420,0,0,0,29.78,0.0,0.0,,5727,0.83,高浏览 + 低转化,95.3,购买样本较少
Google F/C Long Sleeve Tee Charcoal,Home/Apparel/Men's / Unisex/,11417,2893,0,0,0,25.34,0.0,0.0,,5727,0.83,高浏览 + 低转化,94.8,购买样本较少
Google Campus Bike Eco Tee Navy,Home/Apparel/Men's / Unisex/,13866,3517,33,22,40,25.36,0.24,0.16,55.0,5727,0.83,高浏览 + 低转化,92.9,可用于初步比较
Google F/C Long Sleeve Tee Ash,Men's / Unisex,9623,2774,0,0,0,28.83,0.0,0.0,,5727,0.83,高浏览 + 低转化,79.9,购买样本较少
YouTube Icon Tee Grey,Home/Apparel/Men's / Unisex/,14083,2266,57,39,56,16.09,0.4,0.28,69.64,5727,0.83,高浏览 + 低转化,77.5,可用于初步比较
Google Land & Sea French Terry Sweatshirt,Home/New/,11756,2021,44,24,28,17.19,0.37,0.2,85.71,5727,0.83,高浏览 + 低转化,74.1,可用于初步比较
Google Eco Tee Black,Home/Apparel/Men's / Unisex/,8631,1962,0,0,0,22.73,0.0,0.0,,5727,0.83,高浏览 + 低转化,71.6,购买样本较少
Google Navy Speckled Tee,Home/Apparel/Men's / Unisex/,17193,4111,116,77,131,23.91,0.67,0.45,58.78,5727,0.83,高浏览 + 低转化,65.3,可用于初步比较
YouTube Women's Favorite Tee White,Home/Sale/,8009,2198,3,2,5,27.44,0.04,0.02,40.0,5727,0.83,高浏览 + 低转化,64.9,购买样本较少
Android Large Trace Journal Black,Home/Sale/,9216,2609,28,12,21,28.31,0.3,0.13,57.14,5727,0.83,高浏览 + 低转化,64.5,可用于初步比较
Android Small Trace Journal Black,Home/Sale/,8664,2383,20,10,14,27.5,0.23,0.12,71.43,5727,0.83,高浏览 + 低转化,61.5,购买样本较少
Android Large Removable Sticker Sheet,Home/Sale/,11379,3161,58,33,48,27.78,0.51,0.29,68.75,5727,0.83,高浏览 + 低转化,61.4,可用于初步比较
Google Small Standard Journal Navy,Home/Sale/,9482,2845,47,18,44,30.0,0.5,0.19,40.91,5727,0.83,高浏览 + 低转化,60.7,严格路径覆盖较低
Android Super Hero 3D Framed Art,Home/Sale/,9248,2413,24,17,27,26.09,0.26,0.18,62.96,5727,0.83,高浏览 + 低转化,60.1,可用于初步比较
Google Heather Green Speckled Tee,Home/Apparel/Women's/,11085,2071,44,32,63,18.68,0.4,0.29,50.79,5727,0.83,高浏览 + 低转化,59.9,可用于初步比较
Google Leather Strap Hat Black,Home/Apparel/Hats/,6889,2630,2,0,33,38.18,0.03,0.0,0.0,5727,0.83,高浏览 + 低转化,57.2,严格路径覆盖较低
Google Laptop Sleeve Charcoal,Lifestyle/Bags/,7606,1560,22,9,12,20.51,0.29,0.12,75.0,5727,0.83,高浏览 + 低转化,54.0,购买样本较少
Google Tee Green,Home/Sale/,8070,2198,41,14,17,27.24,0.51,0.17,82.35,5727,0.83,高浏览 + 低转化,53.3,购买样本较少
Google Land & Sea Women's Eco Tee,Home/New/,6866,1306,6,5,10,19.02,0.09,0.07,50.0,5727,0.83,高浏览 + 低转化,52.2,购买样本较少
Google Land & Sea Unisex Tee,Home/Apparel/Men's / Unisex/,6283,1240,2,0,0,19.74,0.03,0.0,,5727,0.83,高浏览 + 低转化,52.1,购买样本较少
Google Tee Yellow,Home/Sale/,8889,2485,37,22,31,27.96,0.42,0.25,70.97,5727,0.83,高浏览 + 低转化,51.6,可用于初步比较
YouTube Leather Strap Hat Black,Home/Shop by Brand/YouTube/,11129,3338,79,41,68,29.99,0.71,0.37,60.29,5727,0.83,高浏览 + 低转化,51.2,可用于初步比较
Android Techie 3D Framed Art,Home/Sale/,8844,2466,33,23,35,27.88,0.37,0.26,65.71,5727,0.83,高浏览 + 低转化,50.4,可用于初步比较
Android Garden Tee Orange,Home/Apparel/Women's/,7360,1484,24,12,27,20.16,0.33,0.16,44.44,5727,0.83,高浏览 + 低转化,49.3,严格路径覆盖较低
YouTube Small Sticker Sheet,Home/Shop by Brand/YouTube/,6076,1186,3,2,12,19.52,0.05,0.03,16.67,5727,0.83,高浏览 + 低转化,48.6,购买样本较少
Android Iconic Hat Green,Home/Apparel/Hats/,7208,2677,25,13,24,37.14,0.35,0.18,54.17,5727,0.83,高浏览 + 低转化,46.9,可用于初步比较
Google Land & Sea Journal Set,Home/New/,9009,2051,68,29,41,22.77,0.75,0.32,70.73,5727,0.83,高浏览 + 低转化,45.9,可用于初步比较
Android Iconic Hat Black,Home/Apparel/Hats/,7549,2681,49,23,28,35.51,0.65,0.3,82.14,5727,0.83,高浏览 + 低转化,40.0,可用于初步比较
Google Land & Sea Tech Taco,Home/New/,7253,1505,45,20,22,20.75,0.62,0.28,90.91,5727,0.83,高浏览 + 低转化,39.9,可用于初步比较
Google Blue Stojo Cup,Home/New/,7987,1577,71,28,38,19.74,0.89,0.35,73.68,5727,0.83,高浏览 + 低转化,38.3,可用于初步比较
YouTube Icon Tee Charcoal,Home/Apparel/Men's / Unisex/,11722,2145,104,61,83,18.3,0.89,0.52,73.49,5727,0.83,高浏览 + 低转化,36.3,可用于初步比较
Google Land & Sea Nalgene Water Bottle,New,7493,1499,40,26,53,20.01,0.53,0.35,49.06,5727,0.83,高浏览 + 低转化,36.0,严格路径覆盖较低
Android Iconic Beanie,Home/Apparel/Hats/,6503,2601,29,18,23,40.0,0.45,0.28,78.26,5727,0.83,高浏览 + 低转化,35.8,可用于初步比较
Android Iconic Hat White,Home/Apparel/Hats/,6278,2548,24,17,23,40.59,0.38,0.27,73.91,5727,0.83,高浏览 + 低转化,35.2,可用于初步比较
Google Sherpa Zip Hoodie Charcoal,Men's / Unisex,11326,2231,92,59,93,19.7,0.81,0.52,63.44,5727,0.83,高浏览 + 低转化,35.1,可用于初步比较
Android SM S/F18 Sticker Sheet,Home/Sale/,11422,3198,107,62,91,28.0,0.94,0.54,68.13,5727,0.83,高浏览 + 低转化,33.1,可用于初步比较
Google Utility Bag Grey,Lifestyle/Bags/,8696,1917,80,45,58,22.04,0.92,0.52,77.59,5727,0.83,高浏览 + 低转化,27.0,可用于初步比较
Google Campus Bike Bottle,Lifestyle/Drinkware/,5727,1483,39,23,32,25.89,0.68,0.4,71.88,5727,0.83,高浏览 + 低转化,24.6,可用于初步比较
Stan and Friends Tee Green,Home/Apparel/Women's/,5914,1409,43,25,37,23.82,0.73,0.42,67.57,5727,0.83,高浏览 + 低转化,24.2,可用于初步比较
Google Land & Sea Mug,Shop by Brand,7280,1536,53,37,38,21.1,0.73,0.51,97.37,5727,0.83,高浏览 + 低转化,23.3,可用于初步比较
Google Sherpa Zip Hoodie Navy,Home/Apparel/Men's / Unisex/,6800,944,51,34,71,13.88,0.75,0.5,47.89,5727,0.83,高浏览 + 低转化,22.4,严格路径覆盖较低
YouTube Twill Sandwich Cap Black,Home/Apparel/Hats/,9849,2773,671,62,88,28.16,6.81,0.63,70.45,5727,0.83,高浏览 + 低转化,19.7,可用于初步比较
