item_name,item_category,view_session_items,all_purchase_session_items,strict_purchase_session_items,strict_view_to_purchase_rate_pct,strict_purchase_coverage_pct,product_quadrant,data_reliability_note,purchase_heat_rank
Google Zip Hoodie F/C,Home/Apparel/Men's / Unisex/,16786,221,142,0.85,64.25,高浏览 + 高转化,可用于初步比较,1
Super G Unisex Joggers,Home/Apparel/Men's / Unisex/,17717,218,140,0.79,64.22,高浏览 + 低转化,可用于初步比较,2
Google Crewneck Sweatshirt Navy,Home/Apparel/,10587,188,158,1.49,84.04,高浏览 + 高转化,可用于初步比较,3
Google Camp Mug Ivory,Drinkware,3110,178,117,3.76,65.73,低浏览 + 高转化,可用于初步比较,4
Google Heathered Pom Beanie,Home/Apparel/Hats/,9280,170,123,1.33,72.35,高浏览 + 高转化,可用于初步比较,5
Google Badge Heavyweight Pullover Black,Men's / Unisex,11012,150,95,0.86,63.33,高浏览 + 高转化,可用于初步比较,6
Google Crewneck Sweatshirt Green,Home/Apparel/Men's / Unisex/,9302,150,104,1.12,69.33,高浏览 + 高转化,可用于初步比较,6
Google Laptop and Cell Phone Stickers,Home/Stationery/,3297,138,96,2.91,69.57,低浏览 + 高转化,可用于初步比较,8
Google Clear Pen 4-Pack,Home/Stationery/,2857,138,80,2.8,57.97,低浏览 + 高转化,可用于初步比较,8
Google Red Speckled Tee,Home/Apparel/Men's / Unisex/,7329,135,113,1.54,83.7,高浏览 + 高转化,可用于初步比较,10
Google Crew Socks,Home/Apparel/,4935,132,88,1.78,66.67,低浏览 + 高转化,可用于初步比较,11
Google Navy Speckled Tee,Home/Apparel/Men's / Unisex/,17193,131,77,0.45,58.78,高浏览 + 低转化,可用于初步比较,12
Google Metallic Notebook Set,Home/Stationery/,3154,119,91,2.89,76.47,低浏览 + 高转化,可用于初步比较,13
Google Canteen Bottle Black,Drinkware,2577,116,88,3.41,75.86,低浏览 + 高转化,可用于初步比较,14
Google Leather Strap Hat Blue,Home/Apparel/,8351,115,77,0.92,66.96,高浏览 + 高转化,可用于初步比较,15
Google Land & Sea Cotton Cap,Home/Apparel/,11810,107,93,0.79,86.92,高浏览 + 低转化,可用于初步比较,16
Google Perk Thermal Tumbler,Google,3001,101,69,2.3,68.32,低浏览 + 高转化,可用于初步比较,17
Google Pen White,Home/Stationery/,2971,101,78,2.63,77.23,低浏览 + 高转化,可用于初步比较,17
Noogler Android Figure,Lifestyle/Small Goods/,6123,97,68,1.11,70.1,高浏览 + 高转化,可用于初步比较,19
Google Campus Bike,Google,2033,96,64,3.15,66.67,低浏览 + 高转化,可用于初步比较,20
Google Sherpa Zip Hoodie Charcoal,Men's / Unisex,11326,93,59,0.52,63.44,高浏览 + 低转化,可用于初步比较,21
Android SM S/F18 Sticker Sheet,Home/Sale/,11422,91,62,0.54,68.13,高浏览 + 低转化,可用于初步比较,22
Google Men's Tech Fleece Grey,Home/Shop by Brand/Google/,5495,91,67,1.22,73.63,低浏览 + 高转化,可用于初步比较,22
Google NYC Campus Mug,Home/Campus Collection/,2426,90,68,2.8,75.56,低浏览 + 高转化,可用于初步比较,24
YouTube Twill Sandwich Cap Black,Home/Apparel/Hats/,9849,88,62,0.63,70.45,高浏览 + 低转化,可用于初步比较,25
Google Speckled Beanie Navy,Home/Apparel/Hats/,9907,87,65,0.66,74.71,高浏览 + 低转化,可用于初步比较,26
Android Iconic Crewneck Sweatshirt,Home/Apparel/Men's / Unisex/,7377,85,66,0.89,77.65,高浏览 + 高转化,可用于初步比较,27
Google Camp Mug Gray,Drinkware,2305,85,76,3.3,89.41,低浏览 + 高转化,可用于初步比较,27
Google Glass Bottle,Lifestyle/Drinkware/,5924,84,56,0.95,66.67,高浏览 + 高转化,可用于初步比较,29
Google Dino Game Tee,Men's / Unisex,5077,84,57,1.12,67.86,低浏览 + 高转化,可用于初步比较,29
