item_name,item_category,purchase_transaction_count,purchase_item_rows,recorded_quantity,item_revenue_coverage_pct,recorded_item_revenue,recorded_revenue_per_transaction,product_quadrant,strict_view_to_purchase_rate_pct,data_reliability_note,recorded_revenue_rank
Google Zip Hoodie F/C,Apparel,187,197,208,100.0,10488.0,56.09,高浏览 + 高转化,0.85,可用于初步比较,1
Google Crewneck Sweatshirt Navy,Apparel,196,209,217,100.0,9878.0,50.4,高浏览 + 高转化,1.49,可用于初步比较,2
Google Badge Heavyweight Pullover Black,Apparel,149,158,175,100.0,8444.0,56.67,高浏览 + 高转化,0.86,可用于初步比较,3
Google Men's Tech Fleece Grey,Apparel,87,97,107,100.0,7886.0,90.64,低浏览 + 高转化,1.22,可用于初步比较,4
Super G Unisex Joggers,Shop by Brand,220,234,252,100.0,7826.0,35.57,高浏览 + 低转化,0.79,可用于初步比较,5
Google Crewneck Sweatshirt Green,Apparel,146,149,155,100.0,7095.0,48.6,高浏览 + 高转化,1.12,可用于初步比较,6
Google Men's Tech Fleece Vest Charcoal,Apparel,62,72,79,100.0,5234.0,84.42,低浏览 + 高转化,2.47,可用于初步比较,7
Google Men's Puff Jacket Black,Apparel,52,54,55,100.0,5221.0,100.4,低浏览 + 低转化,0.81,可用于初步比较,8
Google Sherpa Zip Hoodie Charcoal,Apparel,78,82,89,100.0,4953.0,63.5,高浏览 + 低转化,0.52,可用于初步比较,9
Google Canteen Bottle Black,Drinkware,128,128,248,100.0,4892.0,38.22,低浏览 + 高转化,3.41,可用于初步比较,10
Google Utility BackPack,Bags,47,47,48,100.0,4752.0,101.11,低浏览 + 低转化,0.41,可用于初步比较,11
Android Iconic Crewneck Sweatshirt,Apparel,94,98,103,100.0,4719.0,50.2,高浏览 + 高转化,0.89,可用于初步比较,12
Google Black Cloud Zip Hoodie,Apparel,51,63,80,100.0,4516.0,88.55,低浏览 + 高转化,2.63,可用于初步比较,13
Google Women's Puff Jacket Black,Apparel,43,46,47,100.0,4393.0,102.16,低浏览 + 低转化,0.68,可用于初步比较,14
Google Red Speckled Tee,Apparel,138,149,166,100.0,4158.0,30.13,高浏览 + 高转化,1.54,可用于初步比较,15
Google Crewneck Sweatshirt Grey,,74,80,85,100.0,3872.0,52.32,低浏览 + 高转化,1.57,可用于初步比较,16
Google Campus Bike,Accessories,96,96,115,100.0,3808.0,39.67,低浏览 + 高转化,3.15,可用于初步比较,17
Google Navy Speckled Tee,Apparel,123,131,151,100.0,3762.0,30.59,高浏览 + 低转化,0.45,可用于初步比较,18
Google F/C Longsleeve Charcoal,Apparel,118,130,144,100.0,3624.0,30.71,,,,19
Google Incognito Techpack V2,Bags,36,36,47,100.0,3563.0,98.97,,,,20
Google Sherpa Zip Hoodie Navy,Apparel,58,61,63,100.0,3563.0,61.43,高浏览 + 低转化,0.5,严格路径覆盖较低,20
Google F/C Longsleeve Ash,Apparel,123,133,140,100.0,3480.0,28.29,,,,22
Google Cotopaxi Shell,,74,79,81,100.0,3128.0,42.27,低浏览 + 高转化,1.65,可用于初步比较,23
Google Dino Game Tee,Apparel,78,83,88,100.0,2952.0,37.85,低浏览 + 高转化,1.12,可用于初步比较,24
Google Women's Grid Zip-Up,Apparel,51,54,56,100.0,2932.0,57.49,低浏览 + 高转化,0.94,可用于初步比较,25
Google Heathered Pom Beanie,New,169,169,229,100.0,2820.0,16.69,高浏览 + 高转化,1.33,可用于初步比较,26
Google NYC Campus Zip Hoodie,Campus Collection,62,66,86,100.0,2819.0,45.47,,,,27
Google Camp Mug Ivory,Drinkware,189,189,259,100.0,2756.0,14.58,低浏览 + 高转化,3.76,可用于初步比较,28
Google Perk Thermal Tumbler,Lifestyle,95,95,152,100.0,2496.0,26.27,低浏览 + 高转化,2.3,可用于初步比较,29
Google Men's Softshell Moss,Apparel,27,28,28,100.0,2352.0,87.11,低浏览 + 高转化,1.22,可用于初步比较,30
