item_name,item_category,cart_after_view_sessions,purchase_after_cart_sessions,cart_without_purchase_sessions,cart_to_purchase_rate_pct,cart_abandonment_rate_pct
Google Navy Speckled Tee,Home/Apparel/Women's/,4111,59,4052,1.44,98.56
Google Zip Hoodie F/C,Home/Apparel/,4092,93,3999,2.27,97.73
Super G Unisex Joggers,Home/Apparel/Men's / Unisex/,3940,94,3846,2.39,97.61
Google Land & Sea Cotton Cap,Home/Apparel/Hats/,3760,70,3690,1.86,98.14
Google Campus Bike Eco Tee Navy,Home/Apparel/Women's/,3517,16,3501,0.45,99.55
Google Women's Striped L/S,Home/Sale/,3420,0,3420,0.0,100.0
YouTube Leather Strap Hat Black,Home/Apparel/Hats/,3338,40,3298,1.2,98.8
Google Speckled Beanie Navy,Home/Apparel/,3205,56,3149,1.75,98.25
Android SM S/F18 Sticker Sheet,Home/Stationery/,3198,58,3140,1.81,98.19
Google Crewneck Sweatshirt Navy,Home/Apparel/Men's / Unisex/,3246,108,3138,3.33,96.67
Android Large Removable Sticker Sheet,Home/Shop by Brand/Android/,3161,31,3130,0.98,99.02
Google Leather Strap Hat Blue,Home/Apparel/Hats/,3070,65,3005,2.12,97.88
Google Heathered Pom Beanie,Home/Apparel/,3086,94,2992,3.05,96.95
Google Badge Heavyweight Pullover Black,Home/Apparel/Men's / Unisex/,3007,61,2946,2.03,97.97
Google F/C Long Sleeve Tee Charcoal,Home/Apparel/Men's / Unisex/,2893,0,2893,0.0,100.0
Google Small Standard Journal Navy,Home/Sale/,2845,13,2832,0.46,99.54
Google F/C Long Sleeve Tee Ash,Home/Apparel/Men's / Unisex/,2774,0,2774,0.0,100.0
Google Crewneck Sweatshirt Green,Home/Apparel/Men's / Unisex/,2830,87,2743,3.07,96.93
YouTube Twill Sandwich Cap Black,Home/Apparel/,2773,59,2714,2.13,97.87
Android Iconic Hat Green,Home/Apparel/Hats/,2677,10,2667,0.37,99.63
Android Iconic Hat Black,Home/Apparel/Hats/,2681,22,2659,0.82,99.18
Google Leather Strap Hat Black,Home/Apparel/Hats/,2630,4,2626,0.15,99.85
Android Large Trace Journal Black,Home/Sale/,2609,9,2600,0.34,99.66
Android Iconic Beanie,Home/Apparel/Hats/,2601,19,2582,0.73,99.27
Google Speckled Beanie Grey,Home/Apparel/Hats/,2618,37,2581,1.41,98.59
Android Iconic Hat White,Home/Apparel/Hats/,2548,13,2535,0.51,99.49
Google Tee Yellow,Home/Sale/,2485,17,2468,0.68,99.32
Android Techie 3D Framed Art,Lifestyle/Small Goods/,2466,21,2445,0.85,99.15
Android Super Hero 3D Framed Art,Home/Sale/,2413,16,2397,0.66,99.34
Android Small Trace Journal Black,Stationery,2383,8,2375,0.34,99.66
YouTube Icon Tee Grey,Home/Apparel/Men's / Unisex/,2266,23,2243,1.02,98.98
Google Sherpa Zip Hoodie Charcoal,Home/Apparel/Men's / Unisex/,2231,32,2199,1.43,98.57
YouTube Women's Favorite Tee White,Home/Sale/,2198,1,2197,0.05,99.95
Google Tee Green,Home/Sale/,2198,12,2186,0.55,99.45
YouTube Icon Tee Charcoal,Home/Apparel/Men's / Unisex/,2145,43,2102,2.0,98.0
Google Heather Green Speckled Tee,Home/Apparel/Men's / Unisex/,2071,25,2046,1.21,98.79
Google Red Speckled Tee,Home/Apparel/Men's / Unisex/,2097,70,2027,3.34,96.66
Google Land & Sea Journal Set,Home/Eco-Friendly/,2051,25,2026,1.22,98.78
Google Land & Sea French Terry Sweatshirt,Home/Eco-Friendly/,2021,13,2008,0.64,99.36
Google Eco Tee Black,Home/Apparel/Women's/,1962,0,1962,0.0,100.0
Google Utility Bag Grey,Lifestyle/Small Goods/,1917,31,1886,1.62,98.38
Android Iconic Crewneck Sweatshirt,Home/Apparel/Men's / Unisex/,1739,42,1697,2.42,97.58
Google Men's Tech Fleece Grey,Home/Apparel/Men's / Unisex/,1697,40,1657,2.36,97.64
Google Glass Bottle,Lifestyle/Drinkware/,1671,42,1629,2.51,97.49
Google Blue Stojo Cup,Home/New/,1577,19,1558,1.2,98.8
Google Laptop Sleeve Charcoal,Lifestyle/Bags/,1560,6,1554,0.38,99.62
Android Iconic Glass Bottle Green,Lifestyle/Drinkware/,1527,11,1516,0.72,99.28
Google Cork Base Tumbler,Lifestyle/Drinkware/,1526,16,1510,1.05,98.95
Google Land & Sea Mug,Drinkware,1536,28,1508,1.82,98.18
Google Land & Sea Tech Taco,Home/New/,1505,15,1490,1.0,99.0
#IamRemarkable Water Bottle,Lifestyle/Drinkware/,1499,16,1483,1.07,98.93
Google Land & Sea Nalgene Water Bottle,Drinkware,1499,20,1479,1.33,98.67
Android Garden Tee Orange,Home/Apparel/Women's/,1484,8,1476,0.54,99.46
YouTube Jotter Task Pad,Home/Stationery/,1507,40,1467,2.65,97.35
Google Mural Bottle,Lifestyle/Drinkware/,1472,7,1465,0.48,99.52
Google Campus Bike Bottle,Lifestyle/Drinkware/,1483,20,1463,1.35,98.65
Google Cup Cap Tumbler Grey,Lifestyle/Drinkware/,1455,14,1441,0.96,99.04
Stainless Bent Straw/Cleaner,Lifestyle/Drinkware/,1450,10,1440,0.69,99.31
Google Beekeepers Tee Mint,Home/Apparel/Women's/,1433,25,1408,1.74,98.26
Stan and Friends Tee Green,Home/Apparel/Women's/,1409,17,1392,1.21,98.79
Android Iconic Mug Gray,Lifestyle/Drinkware/,1408,16,1392,1.14,98.86
Google Woodtop Bottle Black,Lifestyle/Drinkware/,1395,24,1371,1.72,98.28
Keyboard DOT Sticker,Home/Stationery/,1360,37,1323,2.72,97.28
Google Land & Sea Women's Eco Tee,Home/New/,1306,2,1304,0.15,99.85
Google Bottle Cleaner,Lifestyle/Drinkware/,1287,2,1285,0.16,99.84
Noogler Android Figure,Lifestyle/,1318,52,1266,3.95,96.05
Google Women's Microfleece Jacket Black,Home/Apparel/Women's/,1281,15,1266,1.17,98.83
Google Land & Sea Unisex Tee,Home/New/,1240,0,1240,0.0,100.0
Google Tudes Recycled Tee,Home/Apparel/Men's / Unisex/,1236,13,1223,1.05,98.95
Google Large Tote White,Lifestyle/Bags/,1237,42,1195,3.4,96.6
